Username                            , Accuracy, Timestamp,          
Ben                                 ,    33.33, 2025-07-02 15:19:38,
Killer B                            ,    30.3 , 2025-07-02 15:19:55,
Ben Again                           ,    33.33, 2025-07-02 15:24:25,
Ben Again                           ,    30.3 , 2025-07-02 15:24:44,
test_set                            ,    33.33, 2025-07-02 15:41:41,
mega_set_w_augmentation             ,    51.52, 2025-07-02 16:25:33,
white_small_with_reduced_test_set   ,    33.33, 2025-07-02 16:58:25,
mega_set_with_reduced_test_set      ,    49.49, 2025-07-02 16:59:58,
mega_set_with_reduced_test_set      ,    49.49, 2025-07-02 17:01:08,
a_lot_of_white_with_reduced_test_set,    31.31, 2025-07-02 17:01:28,
